impact_param,tau_9Msun,tau_10Msun,tau_11Msun,tau_12Msun
1.00E-01,6.53E-08,1.41E-07,3.04E-07,6.55E-07
2.00E-01,6.44E-08,1.39E-07,3.02E-07,6.52E-07
3.00E-01,6.29E-08,1.35E-07,2.98E-07,6.46E-07
4.00E-01,6.08E-08,1.30E-07,2.93E-07,6.37E-07
5.00E-01,5.82E-08,1.25E-07,2.87E-07,6.27E-07
6.00E-01,5.52E-08,1.18E-07,2.79E-07,6.14E-07
7.00E-01,5.20E-08,1.11E-07,2.70E-07,5.99E-07
8.00E-01,4.85E-08,1.03E-07,2.61E-07,5.83E-07
9.00E-01,4.48E-08,9.50E-08,2.50E-07,5.65E-07
1.00E+00,4.11E-08,8.69E-08,2.39E-07,5.46E-07
1.10E+00,3.74E-08,7.88E-08,2.28E-07,5.26E-07
1.20E+00,3.38E-08,7.09E-08,2.16E-07,5.04E-07
1.30E+00,3.03E-08,6.34E-08,2.04E-07,4.82E-07
1.40E+00,2.71E-08,5.63E-08,1.92E-07,4.60E-07
1.50E+00,2.40E-08,4.96E-08,1.79E-07,4.37E-07
1.60E+00,2.11E-08,4.35E-08,1.67E-07,4.14E-07
1.70E+00,1.85E-08,3.79E-08,1.56E-07,3.91E-07
1.80E+00,1.61E-08,3.29E-08,1.44E-07,3.68E-07
1.90E+00,1.40E-08,2.84E-08,1.33E-07,3.46E-07
2.00E+00,1.21E-08,2.44E-08,1.22E-07,3.24E-07
2.10E+00,1.04E-08,2.09E-08,1.12E-07,3.03E-07
2.20E+00,8.88E-09,1.78E-08,1.03E-07,2.82E-07
2.30E+00,7.58E-09,1.51E-08,9.36E-08,2.62E-07
2.40E+00,6.44E-09,1.28E-08,8.51E-08,2.43E-07
2.50E+00,5.46E-09,1.08E-08,7.72E-08,2.25E-07
2.60E+00,4.62E-09,9.06E-09,6.98E-08,2.08E-07
2.70E+00,3.89E-09,7.60E-09,6.30E-08,1.91E-07
2.80E+00,3.28E-09,6.37E-09,5.68E-08,1.76E-07
2.90E+00,2.75E-09,5.32E-09,5.10E-08,1.62E-07
3.00E+00,2.30E-09,4.43E-09,4.57E-08,1.48E-07
3.10E+00,1.93E-09,3.69E-09,4.10E-08,1.35E-07
3.20E+00,1.61E-09,3.06E-09,3.66E-08,1.24E-07
3.30E+00,1.34E-09,2.54E-09,3.26E-08,1.13E-07
3.40E+00,1.12E-09,2.11E-09,2.91E-08,1.02E-07
3.50E+00,9.28E-10,1.74E-09,2.59E-08,9.30E-08
3.60E+00,7.71E-10,1.44E-09,2.30E-08,8.44E-08
3.70E+00,6.39E-10,1.19E-09,2.04E-08,7.65E-08
3.80E+00,5.30E-10,9.81E-10,1.80E-08,6.92E-08
3.90E+00,4.39E-10,8.08E-10,1.59E-08,6.26E-08
4.00E+00,3.63E-10,6.65E-10,1.41E-08,5.65E-08
4.10E+00,3.00E-10,5.47E-10,1.24E-08,5.09E-08
4.20E+00,2.48E-10,4.50E-10,1.10E-08,4.59E-08
4.30E+00,2.05E-10,3.70E-10,9.66E-09,4.13E-08
4.40E+00,1.69E-10,3.04E-10,8.50E-09,3.71E-08
4.50E+00,1.39E-10,2.49E-10,7.48E-09,3.33E-08
4.60E+00,1.15E-10,2.05E-10,6.57E-09,2.99E-08
4.70E+00,9.45E-11,1.68E-10,5.77E-09,2.68E-08
4.80E+00,7.78E-11,1.38E-10,5.06E-09,2.40E-08
4.90E+00,6.41E-11,1.13E-10,4.44E-09,2.15E-08
5.00E+00,5.27E-11,9.24E-11,3.89E-09,1.93E-08
5.10E+00,4.34E-11,7.57E-11,3.41E-09,1.72E-08
5.20E+00,3.57E-11,6.20E-11,2.98E-09,1.54E-08
5.30E+00,2.93E-11,5.07E-11,2.61E-09,1.38E-08
5.40E+00,2.41E-11,4.15E-11,2.28E-09,1.23E-08
5.50E+00,1.98E-11,3.39E-11,2.00E-09,1.10E-08
5.60E+00,1.63E-11,2.78E-11,1.74E-09,9.77E-09
5.70E+00,1.34E-11,2.27E-11,1.52E-09,8.71E-09
5.80E+00,1.10E-11,1.85E-11,1.33E-09,7.76E-09
5.90E+00,9.00E-12,1.51E-11,1.16E-09,6.92E-09
6.00E+00,7.38E-12,1.24E-11,1.01E-09,6.16E-09
6.10E+00,6.05E-12,1.01E-11,8.84E-10,5.48E-09
6.20E+00,4.96E-12,8.23E-12,7.71E-10,4.88E-09
6.30E+00,4.06E-12,6.71E-12,6.73E-10,4.34E-09
6.40E+00,3.33E-12,5.46E-12,5.86E-10,3.86E-09
6.50E+00,2.72E-12,4.45E-12,5.11E-10,3.43E-09
6.60E+00,2.23E-12,3.61E-12,4.45E-10,3.05E-09
6.70E+00,1.82E-12,2.93E-12,3.88E-10,2.71E-09
6.80E+00,1.48E-12,2.38E-12,3.38E-10,2.40E-09
6.90E+00,1.21E-12,1.92E-12,2.94E-10,2.13E-09
7.00E+00,9.81E-13,1.55E-12,2.56E-10,1.89E-09
7.10E+00,7.95E-13,1.24E-12,2.23E-10,1.68E-09
7.20E+00,6.42E-13,9.88E-13,1.94E-10,1.49E-09
7.30E+00,5.16E-13,7.81E-13,1.69E-10,1.32E-09
7.40E+00,4.11E-13,6.08E-13,1.47E-10,1.17E-09
7.50E+00,3.25E-13,4.64E-13,1.28E-10,1.04E-09
7.60E+00,2.52E-13,3.42E-13,1.11E-10,9.23E-10
7.70E+00,1.91E-13,2.35E-13,9.67E-11,8.19E-10
7.80E+00,1.39E-13,1.37E-13,8.41E-11,7.26E-10
7.90E+00,9.20E-14,4.15E-14,7.31E-11,6.43E-10
8.00E+00,4.85E-14,0.00E+00,6.35E-11,5.70E-10
8.10E+00,4.42E-15,0.00E+00,5.52E-11,5.05E-10
8.20E+00,0.00E+00,0.00E+00,4.80E-11,4.48E-10
8.30E+00,0.00E+00,0.00E+00,4.17E-11,3.96E-10
8.40E+00,0.00E+00,0.00E+00,3.62E-11,3.51E-10
8.50E+00,0.00E+00,0.00E+00,3.15E-11,3.11E-10
8.60E+00,0.00E+00,0.00E+00,2.73E-11,2.75E-10
8.70E+00,0.00E+00,0.00E+00,2.37E-11,2.44E-10
8.80E+00,0.00E+00,0.00E+00,2.06E-11,2.16E-10
8.90E+00,0.00E+00,0.00E+00,1.79E-11,1.91E-10
9.00E+00,0.00E+00,0.00E+00,1.55E-11,1.69E-10
9.10E+00,0.00E+00,0.00E+00,1.34E-11,1.50E-10
9.20E+00,0.00E+00,0.00E+00,1.16E-11,1.33E-10
9.30E+00,0.00E+00,0.00E+00,1.01E-11,1.17E-10
9.40E+00,0.00E+00,0.00E+00,8.73E-12,1.04E-10
9.50E+00,0.00E+00,0.00E+00,7.56E-12,9.18E-11
9.60E+00,0.00E+00,0.00E+00,6.53E-12,8.12E-11
9.70E+00,0.00E+00,0.00E+00,5.65E-12,7.18E-11
9.80E+00,0.00E+00,0.00E+00,4.87E-12,6.35E-11
9.90E+00,0.00E+00,0.00E+00,4.20E-12,5.61E-11
1.00E+01,0.00E+00,0.00E+00,3.62E-12,4.96E-11
